numObj,x,y,z,timestamp
14,"[6.12091, 6.19127, 6.05056, 6.12091, 6.19127, 6.26163, 6.12091, 6.19127, 5.55807, 5.62843, 5.55807, 5.62843, 6.19127, 6.26163]","[-0.0997039, -0.102494, -0.133237, -0.133983, -0.135622, -0.140248, -0.135305, -0.137373, -0.686669, -0.688197, -0.69291, -0.697509, -0.129851, -0.0969633]","[0.342722, 0.412067, 0.345349, 0.360419, 0.391039, 0.464143, 0.385361, 0.420713, 0.168369, 0.178975, 0.208082, 0.23269, 0.263994, 0.252154]",14/10/2024 19:45:49
17,"[5.76914, 5.83949, 6.19127, 6.19127, 5.69878, 5.76914, 5.83949, 5.90985, 6.19127, 6.19127, 5.69878, 5.76914, 5.83949, 5.90985, 5.69878, 5.83949, 5.90985]","[-0.193169, -0.193608, 0.678629, -0.390711, -0.193727, -0.193803, -0.194322, -0.196163, 0.694293, -0.392251, -0.197632, -0.195102, -0.195001, -0.228912, -0.204251, -0.226845, -0.265458]","[0.216216, 0.226189, -0.799648, 0.175442, 0.228805, 0.230473, 0.241446, 0.276581, -0.81789, 0.195326, 0.301348, 0.256989, 0.25503, 0.269117, 0.391327, 0.234485, 0.308074]",14/10/2024 19:45:52
12,"[4.71381, 4.78416, 4.99523, 4.64345, 4.71381, 4.78416, 4.64345, 4.71381, 4.78416, 4.85452, 4.99523, 5.06558]","[-0.262657, -0.264436, -0.225682, -0.265756, -0.264064, -0.228539, -0.264972, -0.263609, -0.230213, -0.23375, -0.223753, -0.223208]","[0.273446, 0.295974, 0.212244, 0.311488, 0.291434, 0.263243, 0.302388, 0.285754, 0.288571, 0.335014, 0.168448, 0.153695]",14/10/2024 19:45:53
14,"[5.06558, 4.99523, 5.06558, 4.85452, 4.92487, 4.99523, 4.85452, 4.92487, 4.99523, 5.06558, 4.92487, 4.99523, 5.2063, 5.2063]","[-0.162631, -0.162763, -0.166473, -0.162944, -0.165416, -0.132925, -0.165557, -0.167003, -0.167735, -0.167558, -0.170329, -0.170842, -0.221504, -0.222485]","[0.265306, 0.268239, 0.339447, 0.272218, 0.321041, 0.338794, 0.323565, 0.34824, 0.359962, 0.357165, 0.398114, 0.40513, 0.0929046, 0.131453]",14/10/2024 19:45:54
15,"[4.78416, 4.92487, 5.06558, 5.13594, 4.99523, 5.06558, 5.13594, 4.78416, 4.99523, 5.06558, 4.71381, 4.78416, 4.92487, 4.99523, 5.06558]","[0, 0, 0, 0, -0.0323645, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.49484, 0.364164, 0.209581, 0.279898, 0.262541, 0.234534, 0.219004, 0.376076, 0.445147, 0.339094, 0.407915, 0.420856, 0.349156, 0.433623, 0.376823]",14/10/2024 19:45:55
9,"[4.85452, 4.64345, 4.71381, 4.78416, 4.85452, 4.92487, 4.78416, 4.85452, 4.92487]","[0.0976057, 0.0685652, 0.0685514, 0.0331068, 0.0326142, 0.0320518, 0.0651368, 0.0651588, 0.0654563]","[0.276474, 0.42204, 0.421591, 0.335984, 0.289663, 0.223394, 0.283088, 0.284245, 0.299386]",14/10/2024 19:45:56
1,"[4.85452]","[0.0330548]","[0.331449]",14/10/2024 19:45:57
2,"[4.78416, 4.85452]","[0.0325184, 0.0325952]","[0.279613, 0.287695]",14/10/2024 19:45:58
5,"[4.71381, 4.78416, 4.64345, 4.71381, 4.78416]","[0.0676387, 0.0673955, 0.068435, 0.0691153, 0.0699592]","[0.390466, 0.381614, 0.417787, 0.4394, 0.464362]",14/10/2024 19:45:59
13,"[4.78416, 4.85452, 4.71381, 4.78416, 4.85452, 4.92487, 4.78416, 6.26163, 6.33198, 6.26163, 6.33198, 4.78416, 4.92487]","[0.0664616, 0.0649537, 0.0679088, 0.0660501, 0.0643241, 0.0638343, 0.0670444, -0.16453, -0.166247, -0.165562, -0.165951, -0.0734219, 0.0329056]","[0.344972, 0.273242, 0.400004, 0.327217, 0.235864, 0.201525, 0.368366, 0.304579, 0.33561, 0.323653, 0.330508, 0.550983, 0.318015]",14/10/2024 19:46:00
8,"[4.85452, 4.85452, 4.78416, 4.85452, 4.92487, 4.78416, 4.85452, 4.92487]","[0.0642333, 0.0317273, 0.0629719, 0.0630935, 0.0632385, 0.0633878, 0.063488, 0.0636387]","[0.229922, 0.172717, 0.117008, 0.132373, 0.148584, 0.163552, 0.172847, 0.185906]",14/10/2024 19:46:01
14,"[4.71381, 4.78416, 4.85452, 4.78416, 4.71381, 4.78416, 4.85452, 4.71381, 4.78416, 4.85452, 4.92487, 4.92487, 6.05056, 6.12091]","[0.0328519, 0.0329341, 0.0655578, 0.0335123, 0.0321166, 0.0322484, 0.0641825, 0.0325248, 0.0325672, 0.0648089, 0.158748, -0.406399, -0.134023, -0.132516]","[0.31301, 0.320629, 0.304355, 0.369059, 0.232105, 0.248806, 0.226517, 0.280289, 0.284773, 0.265167, 0.152403, -0.98439, 0.361196, 0.329984]",14/10/2024 19:46:02
28,"[6.05056, 6.12091, 4.50274, 4.5731, 4.64345, 4.43239, 4.50274, 4.5731, 4.64345, 4.71381, 4.43239, 4.50274, 4.5731, 4.64345, 4.36203, 4.43239, 4.50274, 4.50274, 4.64345, 4.71381, 6.26163, 6.33198, 4.36203, 4.43239, 4.64345, 4.71381, 6.26163, 6.33198]","[-0.137648, -0.140138, 0.0653396, 0.0321481, 0.0315187, 0.0331215, 0.0661152, 0.0325508, 0.0315078, 0.0313682, 0.0344021, 0.0343337, 0.0334559, 0, 0.0635037, 0.0952098, 0.127399, -0.44721, 0.0312791, 0.0314204, -0.197106, -0.197498, 0.0639769, 0.063919, 0.0313174, 0.0314208, -0.167293, -0.167125]","[0.425121, 0.46258, 0.293551, 0.236217, 0.129414, 0.337245, 0.330102, 0.283051, 0.126727, 0.0849361, 0.430989, 0.426635, 0.364675, 0.129447, 0.174254, 0.166584, 0.180104, -0.954399, 0.0391487, 0.102595, 0.29275, 0.299188, 0.212142, 0.207898, 0.0630841, 0.10274, 0.352937, 0.350221]",14/10/2024 19:46:03
34,"[5.90985, 3.72883, 3.72883, 3.79919, 3.9399, 3.72883, 3.79919, 3.86954, 3.9399, 4.29168, 3.65848, 3.72883, 3.79919, 3.86954, 3.9399, 4.01025, 4.01025, 4.29168, 4.36203, 3.51777, 3.58812, 3.79919, 3.86954, 3.9399, 4.01025, 4.01025, 3.51777, 3.58812, 5.83949, 5.90985, 5.9802, 3.58812, 5.83949, 5.90985]","[-0.140316, 0.0323084, 0.0324614, 0.0325093, -0.0628181, 0, 0, 0, -0.0324831, -0.319877, 0, 0, 0, 0, 0, 0.170372, 1.25583, 0.119418, 0.146679, -0.0641329, -0.0637522, 0, -0.0324171, 0, 0.148741, 1.11877, -0.0648949, -0.0645789, -0.0997318, -0.101621, -0.09868, -0.0650064, -0.13512, -0.107248]","[0.465102, 0.256008, 0.273425, 0.278634, 0.0939428, 0.289583, 0.249723, 0.210315, 0.2758, 0.111413, 0.35135, 0.328142, 0.205862, 0.238248, 0.412725, 0.98491, -1.01706, 1.01853, 0.87441, 0.223139, 0.195129, 0.156578, 0.268518, 0.443573, 0.885862, -0.981441, 0.269995, 0.251733, 0.343502, 0.392042, 0.312447, 0.276116, 0.381991, 0.503663]",14/10/2024 19:46:04
22,"[3.02528, 3.09563, 3.16599, 3.23635, 3.3067, 3.37706, 2.95492, 3.02528, 3.09563, 3.16599, 3.23635, 3.3067, 3.37706, 3.02528, 3.09563, 3.16599, 3.23635, 3.3067, 3.37706, 3.16599, 3.23635, 3.3067]","[-0.127713, -0.127522, -0.127029, -0.158776, -0.158907, -0.158672, -0.160667, -0.160277, -0.127682, -0.158397, -0.159271, -0.159722, -0.159204, -0.161522, -0.160292, -0.190551, -0.192364, -0.160748, -0.159101, -0.228352, -0.197452, -0.192958]","[0.193058, 0.1853, 0.1634, 0.153531, 0.158711, 0.149249, 0.216275, 0.20499, 0.191812, 0.137357, 0.172315, 0.1877, 0.169887, 0.23897, 0.205449, 0.141763, 0.196529, 0.218528, 0.166101, 0.260247, 0.298433, 0.211246]",14/10/2024 19:46:05
